source,text,url,page,language,esi_label,symptom_id
healthunlocked_endo,Latest reply by SealedUser • 8 hours ago On hrt and no other conditions. Yes I knew about the endometriosis not having a “cure”. My main concern was that it has started to attach to the bowel so obvs...,https://www.healthunlocked.com/endometriosis-uk?page=1,1,en,unlabelled,unknown
healthunlocked_endo,Please do not name individual specialists or treatment centr...,https://www.healthunlocked.com/endometriosis-uk?page=1,1,en,unlabelled,unknown
healthunlocked_endo,Is anyone on mounjaro? Has anyone tried or is on mounjaro and has seen a difference with the endometriosis pain side of things? As im seeing more people on social media about people... Latest reply by Happyalam • 7 minutes ago Been on it 3 weeks now 6lb lost no problems so far,https://www.healthunlocked.com/endometriosis-uk?page=6,6,en,unlabelled,unknown
healthunlocked_endo,Has anyone tried or is on mounjaro and has seen a difference with the endometriosis pain side of things? As im seeing more people on social media about people...,https://www.healthunlocked.com/endometriosis-uk?page=6,6,en,unlabelled,unknown
healthunlocked_endo,Latest reply by Happyalam • 7 minutes ago Been on it 3 weeks now 6lb lost no problems so far,https://www.healthunlocked.com/endometriosis-uk?page=6,6,en,unlabelled,unknown
healthunlocked_endo,Is anyone on mounjaro? Has anyone tried or is on mounjaro and has seen a difference with the endometriosis pain side of things? As im seeing more people on social media about people... Latest reply by Happyalam • 8 minutes ago Been on it 3 weeks now 6lb lost no problems so far,https://www.healthunlocked.com/endometriosis-uk?page=16,16,en,unlabelled,unknown
healthunlocked_endo,Latest reply by Happyalam • 8 minutes ago Been on it 3 weeks now 6lb lost no problems so far,https://www.healthunlocked.com/endometriosis-uk?page=16,16,en,unlabelled,unknown
healthunlocked_endo,Is anyone on mounjaro? Has anyone tried or is on mounjaro and has seen a difference with the endometriosis pain side of things? As im seeing more people on social media about people... Latest reply by Happyalam • 9 minutes ago Been on it 3 weeks now 6lb lost no problems so far,https://www.healthunlocked.com/endometriosis-uk?page=32,32,en,unlabelled,unknown
healthunlocked_endo,Latest reply by Happyalam • 9 minutes ago Been on it 3 weeks now 6lb lost no problems so far,https://www.healthunlocked.com/endometriosis-uk?page=32,32,en,unlabelled,unknown
healthunlocked_endo,Is anyone on mounjaro? Has anyone tried or is on mounjaro and has seen a difference with the endometriosis pain side of things? As im seeing more people on social media about people... Latest reply by Happyalam • 10 minutes ago Been on it 3 weeks now 6lb lost no problems so far,https://www.healthunlocked.com/endometriosis-uk?page=48,48,en,unlabelled,unknown
healthunlocked_endo,Latest reply by Happyalam • 10 minutes ago Been on it 3 weeks now 6lb lost no problems so far,https://www.healthunlocked.com/endometriosis-uk?page=48,48,en,unlabelled,unknown
